x_tip,y_disp,load
1,0,0
0.999335,0.0332953,0.1
0.997353,0.0663645,0.2
0.994101,0.0989908,0.3
0.989646,0.130975,0.4
0.984081,0.162144,0.5
0.977512,0.19235,0.6
0.970057,0.221481,0.7
0.961834,0.249452,0.8
0.952966,0.276208,0.9
0.943567,0.301721,1
0.933745,0.325984,1.1
0.9236,0.34901,1.2
0.91322,0.370825,1.3
0.902683,0.391466,1.4
0.892058,0.410978,1.5
0.881404,0.429413,1.6
0.870769,0.446823,1.7
0.860195,0.463264,1.8
0.849715,0.478791,1.9
0.839358,0.493457,2
0.829146,0.507317,2.1
0.819097,0.52042,2.2
0.809223,0.532815,2.3
0.799536,0.544547,2.4
0.790042,0.555659,2.5
0.780746,0.566193,2.6
0.771651,0.576185,2.7
0.762759,0.585671,2.8
0.754069,0.594683,2.9
0.74558,0.603253,3
0.73729,0.611409,3.1
0.729197,0.619177,3.2
0.721297,0.626582,3.3
0.713586,0.633647,3.4
0.706061,0.640392,3.5
0.698716,0.646837,3.6
0.691548,0.653,3.7
0.684553,0.658899,3.8
0.677724,0.664549,3.9
0.671059,0.669964,4
0.664551,0.675159,4.1
0.658198,0.680145,4.2
0.651993,0.684934,4.3
0.645933,0.689538,4.4
0.640013,0.693967,4.5
0.634229,0.69823,4.6
0.628577,0.702336,4.7
0.623053,0.706293,4.8
0.617652,0.710109,4.9
0.612372,0.713792,5
0.607208,0.717347,5.1
0.602156,0.720782,5.2
0.597214,0.724103,5.3
0.592378,0.727315,5.4
0.587644,0.730423,5.5
0.58301,0.733432,5.6
0.578473,0.736348,5.7
0.574029,0.739173,5.8
0.569676,0.741913,5.9
0.565411,0.744571,6
0.561232,0.747151,6.1
0.557135,0.749657,6.2
0.553119,0.752091,6.3
0.549181,0.754457,6.4
0.545319,0.756757,6.5
0.541531,0.758995,6.6
0.537814,0.761172,6.7
0.534166,0.763293,6.8
0.530587,0.765357,6.9
0.527073,0.767369,7
0.523622,0.76933,7.1
0.520234,0.771242,7.2
0.516907,0.773107,7.3
0.513638,0.774926,7.4
0.510426,0.776702,7.5
0.50727,0.778436,7.6
0.504168,0.78013,7.7
0.501118,0.781784,7.8
0.49812,0.783401,7.9
0.495172,0.784982,8
0.492273,0.786528,8.1
0.489421,0.788041,8.2
0.486616,0.789521,8.3
0.483855,0.790969,8.4
0.481139,0.792387,8.5
0.478465,0.793776,8.6
0.475834,0.795136,8.7
0.473243,0.796469,8.8
0.470692,0.797775,8.9
0.468179,0.799056,9
0.465705,0.800311,9.1
0.463268,0.801543,9.2
0.460867,0.802751,9.3
0.458501,0.803936,9.4
0.45617,0.805099,9.5
0.453872,0.806242,9.6
0.451608,0.807363,9.7
0.449375,0.808464,9.8
0.447175,0.809546,9.9
0.445004,0.810609,10
