i,t,x_tip,y_tip
0,0,0.309017,0.309017
1,2.72727e-05,0.309017,0.309017
2,7.93277e-05,0.309017,0.309017
3,0.000153836,0.309016,0.309016
4,0.000248781,0.309013,0.309013
5,0.000362368,0.309009,0.309009
6,0.000492994,0.309005,0.309005
7,0.000639032,0.309,0.309
8,0.000798776,0.308994,0.308994
9,0.000971412,0.308987,0.308987
10,0.00115573,0.308979,0.308979
11,0.00135033,0.30897,0.30897
12,0.00155474,0.30896,0.30896
13,0.00176722,0.30895,0.30895
14,0.00198746,0.308939,0.308939
15,0.00221501,0.308928,0.308928
16,0.00244925,0.308916,0.308916
17,0.0026894,0.308903,0.308903
18,0.00293454,0.30889,0.30889
19,0.00318488,0.308877,0.308877
20,0.00343931,0.308863,0.308863
21,0.00369798,0.308849,0.308849
22,0.00396106,0.308834,0.308834
23,0.00422718,0.30882,0.30882
24,0.00449644,0.308805,0.308805
25,0.00476729,0.308789,0.308789
26,0.00504143,0.308774,0.308774
27,0.00531725,0.308758,0.308758
28,0.00559478,0.308742,0.308742
29,0.00587583,0.308726,0.308726
30,0.00615687,0.30871,0.30871
31,0.00643973,0.308693,0.308693
32,0.00672444,0.308677,0.308677
33,0.00701103,0.30866,0.30866
34,0.00729762,0.308643,0.308643
35,0.00758615,0.308626,0.308626
36,0.00787468,0.308608,0.308608
37,0.0081652,0.308591,0.308591
38,0.00845572,0.308573,0.308573
39,0.00874829,0.308555,0.308555
40,0.00904085,0.308537,0.308537
41,0.00933342,0.308519,0.308519
42,0.00962598,0.308501,0.308501
43,0.00992068,0.308483,0.308483
44,0.0102154,0.308465,0.308465
45,0.0105101,0.308446,0.308446
46,0.0108048,0.308428,0.308428
47,0.0110995,0.308409,0.308409
48,0.0113942,0.308391,0.308391
49,0.0116912,0.308372,0.308372
50,0.0119881,0.308353,0.308353
51,0.0122851,0.308334,0.308334
52,0.0125821,0.308316,0.308316
53,0.012879,0.308297,0.308297
54,0.013176,0.308278,0.308278
55,0.013473,0.308259,0.308259
56,0.0137699,0.30824,0.30824
57,0.0140669,0.30822,0.30822
58,0.0143639,0.308201,0.308201
59,0.0146608,0.308182,0.308182
60,0.0149578,0.308163,0.308163
61,0.0152548,0.308143,0.308143
62,0.0155517,0.308124,0.308124
63,0.0158487,0.308105,0.308105
64,0.0161457,0.308085,0.308085
65,0.0164426,0.308066,0.308066
66,0.0167396,0.308047,0.308047
67,0.0170366,0.308027,0.308027
68,0.0173335,0.308008,0.308008
69,0.0176305,0.307988,0.307988
70,0.0179275,0.307969,0.307969
71,0.0182244,0.307949,0.307949
72,0.0185214,0.30793,0.30793
73,0.0188184,0.30791,0.30791
74,0.0191154,0.30789,0.30789
75,0.0194123,0.30787,0.30787
76,0.0197093,0.307851,0.307851
77,0.0200063,0.307831,0.307831
78,0.0203032,0.307811,0.307811
79,0.0206002,0.307791,0.307791
80,0.0208972,0.307771,0.307771
81,0.0211941,0.307751,0.307751
82,0.0214911,0.307731,0.307731
83,0.0217881,0.307711,0.307711
84,0.022085,0.307691,0.307691
85,0.022382,0.307671,0.307671
86,0.022679,0.307651,0.307651
87,0.0229759,0.307632,0.307632
88,0.0232729,0.307611,0.307611
89,0.0235699,0.307591,0.307591
90,0.0238668,0.307571,0.307571
91,0.0241638,0.307551,0.307551
92,0.0244608,0.307531,0.307531
93,0.0247577,0.307511,0.307511
94,0.0250547,0.307491,0.307491
95,0.0253517,0.307471,0.307471
96,0.0256486,0.307451,0.307451
97,0.0259456,0.307431,0.307431
98,0.0262426,0.307411,0.307411
99,0.0265395,0.307391,0.307391
100,0.0268365,0.30737,0.30737
101,0.0271335,0.30735,0.30735
102,0.0274304,0.30733,0.30733
103,0.0277274,0.30731,0.30731
104,0.0280244,0.30729,0.30729
105,0.0283214,0.30727,0.30727
106,0.0286183,0.307249,0.307249
107,0.0289153,0.307229,0.307229
108,0.0292123,0.307209,0.307209
109,0.0295092,0.307189,0.307189
110,0.0298062,0.307168,0.307168
111,0.0301032,0.307148,0.307148
112,0.0304001,0.307128,0.307128
113,0.0306971,0.307108,0.307108
114,0.0309941,0.307087,0.307087
115,0.031291,0.307067,0.307067
116,0.031588,0.307047,0.307047
117,0.031885,0.307026,0.307026
118,0.0321819,0.307006,0.307006
119,0.0324789,0.306985,0.306985
120,0.0327759,0.306965,0.306965
121,0.0330728,0.306945,0.306945
122,0.0333698,0.306925,0.306925
123,0.0336668,0.306904,0.306904
124,0.0339637,0.306883,0.306883
125,0.0342607,0.306862,0.306862
126,0.0345577,0.306843,0.306843
127,0.0348546,0.306823,0.306823
128,0.0351516,0.306803,0.306803
129,0.0354486,0.306782,0.306782
130,0.0357455,0.30676,0.30676
131,0.0360425,0.30674,0.30674
132,0.0363395,0.30672,0.30672
133,0.0366365,0.306701,0.306701
134,0.0369334,0.30668,0.30668
135,0.0372304,0.306659,0.306659
136,0.0375274,0.306637,0.306637
137,0.0378243,0.306617,0.306617
138,0.0381213,0.306598,0.306598
139,0.0384183,0.306577,0.306577
140,0.0387152,0.306557,0.306557
141,0.0390122,0.306536,0.306536
142,0.0393092,0.306516,0.306516
143,0.0396061,0.306494,0.306494
144,0.0399031,0.306473,0.306473
145,0.0402001,0.306453,0.306453
146,0.040497,0.306434,0.306434
147,0.040794,0.306414,0.306414
148,0.041091,0.306393,0.306393
149,0.0413879,0.306371,0.306371
150,0.0416849,0.30635,0.30635
151,0.0419819,0.306329,0.306329
152,0.0422788,0.306309,0.306309
153,0.0425758,0.306289,0.306289
154,0.0428728,0.306269,0.306269
155,0.0431697,0.306248,0.306248
156,0.0434667,0.306227,0.306227
157,0.0437637,0.306206,0.306206
158,0.0440606,0.306184,0.306184
159,0.0443576,0.306164,0.306164
160,0.0446546,0.306143,0.306143
161,0.0449515,0.306123,0.306123
162,0.0452485,0.306103,0.306103
163,0.0455455,0.306083,0.306083
164,0.0458425,0.306062,0.306062
165,0.0461394,0.306041,0.306041
166,0.0464364,0.306019,0.306019
167,0.0467334,0.305997,0.305997
168,0.0470303,0.305977,0.305977
169,0.0473273,0.305957,0.305957
170,0.0476243,0.305937,0.305937
171,0.0479212,0.305917,0.305917
172,0.0482182,0.305896,0.305896
173,0.0485152,0.305875,0.305875
174,0.0488121,0.305853,0.305853
175,0.0491091,0.305832,0.305832
176,0.0494061,0.30581,0.30581
177,0.049703,0.30579,0.30579
178,0.05,0.305769,0.305769
179,0.0502994,0.305749,0.305749
180,0.0505988,0.305729,0.305729
181,0.0508982,0.305708,0.305708
182,0.0511976,0.305686,0.305686
183,0.051497,0.305665,0.305665
184,0.0517964,0.305643,0.305643
185,0.0520958,0.305621,0.305621
186,0.0523952,0.305599,0.305599
187,0.0526946,0.305579,0.305579
188,0.052994,0.305558,0.305558
189,0.0532934,0.305537,0.305537
190,0.0535928,0.305517,0.305517
191,0.0538922,0.305496,0.305496
192,0.0541916,0.305474,0.305474
193,0.054491,0.305452,0.305452
194,0.0547904,0.305431,0.305431
195,0.0550898,0.305409,0.305409
196,0.0553892,0.305387,0.305387
197,0.0556886,0.305365,0.305365
198,0.055988,0.305345,0.305345
199,0.0562874,0.305324,0.305324
200,0.0565868,0.305304,0.305304
201,0.0568862,0.305283,0.305283
202,0.0571856,0.305262,0.305262
203,0.057485,0.30524,0.30524
204,0.0577844,0.305218,0.305218
205,0.0580838,0.305196,0.305196
206,0.0583832,0.305173,0.305173
207,0.0586826,0.305152,0.305152
208,0.058982,0.30513,0.30513
209,0.0592814,0.305109,0.305109
210,0.0595808,0.305088,0.305088
211,0.0598802,0.305068,0.305068
212,0.0601796,0.305047,0.305047
213,0.060479,0.305026,0.305026
214,0.0607784,0.305004,0.305004
215,0.0610778,0.304982,0.304982
216,0.0613772,0.30496,0.30496
217,0.0616766,0.304937,0.304937
218,0.061976,0.304915,0.304915
219,0.0622754,0.304893,0.304893
220,0.0625749,0.304871,0.304871
221,0.0628743,0.30485,0.30485
222,0.0631737,0.304829,0.304829
223,0.0634731,0.304808,0.304808
224,0.0637725,0.304787,0.304787
225,0.0640719,0.304766,0.304766
226,0.0643713,0.304744,0.304744
227,0.0646707,0.304722,0.304722
228,0.0649701,0.304699,0.304699
229,0.0652695,0.304677,0.304677
230,0.0655689,0.304654,0.304654
231,0.0658683,0.304632,0.304632
232,0.0661677,0.30461,0.30461
233,0.0664671,0.304588,0.304588
234,0.0667665,0.304567,0.304567
235,0.0670659,0.304545,0.304545
236,0.0673653,0.304524,0.304524
237,0.0676647,0.304503,0.304503
238,0.0679641,0.304482,0.304482
239,0.0682635,0.30446,0.30446
240,0.0685629,0.304438,0.304438
241,0.0688623,0.304415,0.304415
242,0.0691617,0.304393,0.304393
243,0.0694611,0.30437,0.30437
244,0.0697605,0.304347,0.304347
245,0.0700599,0.304324,0.304324
246,0.0703593,0.304302,0.304302
247,0.0706587,0.30428,0.30428
248,0.0709581,0.304258,0.304258
249,0.0712575,0.304236,0.304236
250,0.0715569,0.304215,0.304215
251,0.0718563,0.304194,0.304194
252,0.0721557,0.304172,0.304172
253,0.0724551,0.30415,0.30415
254,0.0727545,0.304128,0.304128
255,0.0730539,0.304106,0.304106
256,0.0733533,0.304082,0.304082
257,0.0736527,0.304059,0.304059
258,0.0739521,0.304036,0.304036
